pointNum,accumDst,pkuid,temp,elevation-n-vancouver,elevation-s-vancouver
396,          3168.00000,5,via-pacific,             7.00000,   -2147480000.00000
397,          3176.00000,5,via-pacific,             7.00000,   -2147480000.00000
398,          3184.00000,5,via-pacific,             9.00000,   -2147480000.00000
399,          3192.00000,5,via-pacific,             9.00000,   -2147480000.00000
400,          3200.00000,5,via-pacific,             9.00000,   -2147480000.00000
401,          3208.00000,5,via-pacific,            10.00000,   -2147480000.00000
402,          3216.00000,5,via-pacific,            10.00000,   -2147480000.00000
403,          3224.00000,5,via-pacific,            10.00000,   -2147480000.00000
404,          3232.00000,5,via-pacific,            10.00000,   -2147480000.00000
405,          3240.00000,5,via-pacific,            10.00000,   -2147480000.00000
406,          3248.00000,5,via-pacific,            10.00000,   -2147480000.00000
407,          3256.00000,5,via-pacific,            10.00000,   -2147480000.00000
408,          3264.00000,5,via-pacific,             8.00000,   -2147480000.00000
409,          3272.00000,5,via-pacific,            10.00000,   -2147480000.00000
410,          3280.00000,5,via-pacific,            10.00000,   -2147480000.00000
411,          3288.00000,5,via-pacific,            10.00000,   -2147480000.00000
412,          3296.00000,5,via-pacific,            10.00000,   -2147480000.00000
413,          3304.00000,5,via-pacific,            10.00000,   -2147480000.00000
414,          3312.00000,5,via-pacific,            10.00000,   -2147480000.00000
415,          3320.00000,5,via-pacific,            11.00000,   -2147480000.00000
416,          3328.00000,5,via-pacific,            11.00000,   -2147480000.00000
417,          3336.00000,5,via-pacific,            11.00000,   -2147480000.00000
418,          3344.00000,5,via-pacific,            11.00000,   -2147480000.00000
419,          3352.00000,5,via-pacific,            11.00000,   -2147480000.00000
420,          3360.00000,5,via-pacific,            11.00000,   -2147480000.00000
421,          3368.00000,5,via-pacific,            11.00000,   -2147480000.00000
422,          3376.00000,5,via-pacific,            11.00000,   -2147480000.00000
423,          3384.00000,5,via-pacific,            11.00000,   -2147480000.00000
