"pointNum","accumDst","temp","elevation-n-vancouver","elevation-s-vancouver","value"
298,2384,,-2147483648,103,103
299,2392,,-2147483648,106,106
300,2400,,-2147483648,106,106
301,2408,,-2147483648,106,106
302,2416,,-2147483648,106,106
303,2424,,-2147483648,106,106
304,2432,,-2147483648,106,106
305,2440,,-2147483648,106,106
306,2448,,-2147483648,106,106
307,2456,,-2147483648,104,104
308,2464,,-2147483648,104,104
309,2472,,-2147483648,104,104
310,2480,,-2147483648,104,104
311,2488,,-2147483648,104,104
312,2496,,-2147483648,105,105
313,2504,,-2147483648,105,105
314,2512,,-2147483648,105,105
315,2520,,-2147483648,105,105
316,2528,,-2147483648,105,105
317,2536,,-2147483648,104,104
318,2544,,-2147483648,104,104
319,2552,,-2147483648,103,103
320,2560,,-2147483648,103,103
321,2568,,-2147483648,103,103
322,2576,,-2147483648,103,103
323,2584,,-2147483648,103,103
324,2592,,-2147483648,102,102
325,2600,,-2147483648,102,102
326,2608,,-2147483648,101,101
327,2616,,-2147483648,101,101
328,2624,,-2147483648,101,101
329,2632,,-2147483648,99,99
330,2640,,-2147483648,99,99
331,2648,,-2147483648,97,97
332,2656,,-2147483648,97,97
333,2664,,-2147483648,97,97
334,2672,,-2147483648,95,95
335,2680,,-2147483648,95,95
336,2688,,-2147483648,95,95
337,2696,,-2147483648,95,95
338,2704,,-2147483648,95,95
339,2712,,-2147483648,93,93
340,2720,,-2147483648,93,93
341,2728,,-2147483648,91,91
342,2736,,-2147483648,91,91
343,2744,,-2147483648,90,90
344,2752,,-2147483648,90,90
345,2760,,-2147483648,90,90
346,2768,,-2147483648,90,90
347,2776,,-2147483648,90,90
348,2784,,-2147483648,89,89
349,2792,,-2147483648,89,89
350,2800,,-2147483648,89,89
351,2808,,-2147483648,88,88
352,2816,,-2147483648,88,88
353,2824,,-2147483648,88,88
354,2832,,-2147483648,88,88
355,2840,,-2147483648,88,88
356,2848,,-2147483648,88,88
357,2856,,-2147483648,88,88
358,2864,,-2147483648,88,88
359,2872,,-2147483648,88,88
360,2880,,-2147483648,88,88
361,2888,,-2147483648,89,89
362,2896,,-2147483648,89,89
363,2904,,-2147483648,90,90
364,2912,,-2147483648,90,90
365,2920,,-2147483648,90,90
366,2928,,-2147483648,90,90
367,2936,,-2147483648,88,88
368,2944,,-2147483648,88,88
369,2952,,-2147483648,88,88
370,2960,,-2147483648,88,88
371,2968,,-2147483648,88,88
372,2976,,-2147483648,89,89
373,2984,,-2147483648,89,89
374,2992,,-2147483648,90,90
375,3000,,-2147483648,90,90
376,3008,,-2147483648,90,90
377,3016,,-2147483648,90,90
378,3024,,-2147483648,90,90
379,3032,,-2147483648,89,89
380,3040,,-2147483648,89,89
381,3048,,-2147483648,89,89
382,3056,,-2147483648,89,89
383,3064,,-2147483648,89,89
384,3072,,-2147483648,89,89
385,3080,,-2147483648,89,89
386,3088,,-2147483648,88,88
387,3096,,-2147483648,88,88
388,3104,,-2147483648,87,87
389,3112,,-2147483648,87,87
390,3120,,-2147483648,87,87
391,3128,,-2147483648,87,87
392,3136,,-2147483648,87,87
393,3144,,-2147483648,88,88
394,3152,,-2147483648,88,88
395,3160,,-2147483648,88,88
396,3168,,-2147483648,86,86
397,3176,,-2147483648,86,86
398,3184,,-2147483648,86,86
399,3192,,-2147483648,86,86
400,3200,,-2147483648,86,86
401,3208,,-2147483648,86,86
402,3216,,-2147483648,86,86
403,3224,,-2147483648,85,85
404,3232,,-2147483648,85,85
405,3240,,-2147483648,85,85
406,3248,,-2147483648,86,86
407,3256,,-2147483648,86,86
408,3264,,-2147483648,85,85
409,3272,,-2147483648,85,85
410,3280,,-2147483648,85,85
411,3288,,-2147483648,83,83
412,3296,,-2147483648,83,83
413,3304,,-2147483648,81,81
414,3312,,-2147483648,81,81
415,3320,,-2147483648,81,81
416,3328,,-2147483648,81,81
417,3336,,-2147483648,81,81
418,3344,,-2147483648,80,80
419,3352,,-2147483648,80,80
420,3360,,-2147483648,79,79
421,3368,,-2147483648,79,79
422,3376,,-2147483648,79,79
423,3384,,-2147483648,77,77
424,3392,,-2147483648,79,79
425,3400,,-2147483648,79,79
426,3408,,-2147483648,79,79
427,3416,,-2147483648,79,79
428,3424,,-2147483648,79,79
429,3432,,-2147483648,77,77
430,3440,,-2147483648,77,77
431,3448,,-2147483648,75,75
432,3456,,-2147483648,75,75
433,3464,,-2147483648,75,75
434,3472,,-2147483648,75,75
435,3480,,-2147483648,75,75
436,3488,,-2147483648,74,74
437,3496,,-2147483648,74,74
438,3504,,-2147483648,74,74
439,3512,,-2147483648,72,72
440,3520,,-2147483648,72,72
441,3528,,-2147483648,69,69
442,3536,,-2147483648,69,69
443,3544,,-2147483648,69,69
444,3552,,-2147483648,69,69
445,3560,,-2147483648,69,69
446,3568,,-2147483648,68,68
447,3576,,-2147483648,68,68
448,3584,,-2147483648,68,68
449,3592,,-2147483648,68,68
450,3600,,-2147483648,68,68
451,3608,,-2147483648,68,68
452,3616,,-2147483648,68,68
453,3624,,-2147483648,69,69
454,3632,,-2147483648,69,69
455,3640,,-2147483648,69,69
456,3648,,-2147483648,69,69
457,3656,,-2147483648,69,69
458,3664,,-2147483648,70,70
459,3672,,-2147483648,70,70
460,3680,,-2147483648,70,70
461,3688,,-2147483648,70,70
462,3696,,-2147483648,70,70
463,3704,,-2147483648,70,70
464,3712,,-2147483648,70,70
465,3720,,-2147483648,70,70
466,3728,,-2147483648,70,70
467,3736,,-2147483648,70,70
468,3744,,-2147483648,70,70
469,3752,,-2147483648,70,70
470,3760,,-2147483648,71,71
471,3768,,-2147483648,71,71
472,3776,,-2147483648,71,71
473,3784,,-2147483648,70,70
474,3792,,-2147483648,70,70
475,3800,,-2147483648,69,69
476,3808,,-2147483648,69,69
477,3816,,-2147483648,69,69
478,3824,,-2147483648,67,67
479,3832,,-2147483648,67,67
480,3840,,-2147483648,66,66
481,3848,,-2147483648,66,66
482,3856,,-2147483648,66,66
483,3864,,-2147483648,66,66
484,3872,,-2147483648,66,66
485,3880,,-2147483648,64,64
486,3888,,-2147483648,64,64
487,3896,,-2147483648,64,64
488,3904,,-2147483648,64,64
489,3912,,-2147483648,64,64
490,3920,,-2147483648,64,64
491,3928,,-2147483648,64,64
492,3936,,-2147483648,64,64
493,3944,,-2147483648,65,65
494,3952,,-2147483648,65,65
495,3960,,-2147483648,65,65
496,3968,,-2147483648,65,65
497,3976,,-2147483648,65,65
498,3984,,0,65,65
499,3992,,0,65,65
500,4000,,0,65,65
501,4008,,0,65,65
502,4016,,0,64,64
503,4024,,0,64,64
504,4032,,0,64,64
505,4040,,0,65,65
506,4048,,0,65,65
507,4056,,0,64,64
508,4064,,0,64,64
509,4072,,0,64,64
510,4080,,0,64,64
511,4088,,0,64,64
512,4096,,0,66,66
513,4104,,0,66,66
514,4112,,0,66,66
515,4120,,0,66,66
516,4128,,0,66,66
517,4136,,0,65,65
